"E3 Ligase"	"E3 Tier"	"Substrate"	"Substrate Tier"	"Cancer Types"	"Existing Protac"	"Num Cancer Types"
"27"	"CBLB"	"1"	"SRC"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"28"	"CBLB"	"1"	"SYK"	"1"	"glioblastoma"	"No"	1
"29"	"DDB2"	"1"	"XPC"	"1"	"glioblastoma"	"No"	1
"30"	"FBXW7"	"1"	"CCNE1"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"31"	"FBXW7"	"1"	"CSF3R"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"32"	"FBXW7"	"1"	"DEK"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"33"	"FBXW7"	"1"	"MYB"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"34"	"FBXW7"	"1"	"MYC"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"35"	"FBXW7"	"1"	"NONO"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"36"	"FBXW7"	"1"	"TP53"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"37"	"KEAP1"	"1"	"NFE2L2"	"1"	"glioblastoma, lung_squamous_cell_carcinoma"	"No"	2
"38"	"KEAP1"	"1"	"PALB2"	"1"	"lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"39"	"MAP3K1"	"1"	"JUN"	"1"	"glioblastoma"	"No"	1
"40"	"MDM2"	"1"	"BTK"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"Yes"	1
"41"	"MDM2"	"1"	"CCNE1"	"1"	"endometrial_carcinoma_(uterine), clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"42"	"MDM2"	"1"	"CDH1"	"1"	"endometrial_carcinoma_(uterine)"	"No"	1
"43"	"MDM2"	"1"	"CDK4"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"Yes"	1
"44"	"MDM2"	"1"	"CDK6"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"Yes"	1
"45"	"MDM2"	"1"	"CDKN1A"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"46"	"MDM2"	"1"	"DAXX"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"47"	"MDM2"	"1"	"EGFR"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"Yes"	1
"48"	"MDM2"	"1"	"MDM2"	"1"	"endometrial_carcinoma_(uterine), clear_cell_renal_cell_carcinoma_(kidney)"	"Yes"	2
"49"	"MDM2"	"1"	"RARA"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"50"	"MDM2"	"1"	"RB1"	"1"	"endometrial_carcinoma_(uterine), clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"51"	"MDM2"	"1"	"TERT"	"1"	"endometrial_carcinoma_(uterine)"	"No"	1
"52"	"RNF43"	"1"	"RNF43"	"1"	"endometrial_carcinoma_(uterine), lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"No"	3
"53"	"SOCS1"	"1"	"JAK1"	"1"	"glioblastoma"	"No"	1
"54"	"SOCS1"	"1"	"LYN"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma"	"No"	2
"55"	"SPOP"	"1"	"CCNE1"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"56"	"SPOP"	"1"	"CD274"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"57"	"SPOP"	"1"	"DAXX"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"58"	"SPOP"	"1"	"DEK"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"59"	"SPOP"	"1"	"ERG"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"60"	"SPOP"	"1"	"FADD"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"61"	"TNFAIP3"	"1"	"TNFAIP3"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"62"	"TRAF7"	"1"	"TRAF7"	"1"	"endometrial_carcinoma_(uterine), head_and_neck_squamous_cell_carcinoma, lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"No"	4
"63"	"TRIM24"	"1"	"TP53"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"No"	4
"64"	"TRIM27"	"1"	"CDKN1A"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"65"	"UBR5"	"1"	"SOX2"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"66"	"UBR5"	"1"	"UBR5"	"1"	"head_and_neck_squamous_cell_carcinoma, lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"No"	3
"67"	"VHL"	"1"	"ABL1"	"1"	"glioblastoma"	"Yes"	1
"68"	"VHL"	"1"	"AKT1"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), lung_adenocarcinoma"	"Yes"	3
"69"	"VHL"	"1"	"AKT2"	"1"	"lung_squamous_cell_carcinoma"	"Yes"	1
"70"	"VHL"	"1"	"ALK"	"1"	"glioblastoma, lung_squamous_cell_carcinoma"	"Yes"	2
"71"	"VHL"	"1"	"AR"	"1"	"glioblastoma"	"Yes"	1
"72"	"VHL"	"1"	"BTK"	"1"	"glioblastoma"	"Yes"	1
"73"	"VHL"	"1"	"CDK4"	"1"	"lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"Yes"	2
"74"	"VHL"	"1"	"EGFR"	"1"	"glioblastoma, lung_squamous_cell_carcinoma"	"Yes"	2
"75"	"VHL"	"1"	"EZH2"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"Yes"	4
"76"	"VHL"	"1"	"FGFR1"	"1"	"glioblastoma"	"Yes"	1
"77"	"VHL"	"1"	"ITK"	"1"	"glioblastoma"	"Yes"	1
"78"	"VHL"	"1"	"JAK1"	"1"	"glioblastoma"	"Yes"	1
"79"	"VHL"	"1"	"KRAS"	"1"	"endometrial_carcinoma_(uterine), lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"Yes"	3
"80"	"VHL"	"1"	"PBRM1"	"1"	"glioblastoma"	"Yes"	1
"81"	"VHL"	"1"	"PTK6"	"1"	"endometrial_carcinoma_(uterine), lung_adenocarcinoma"	"Yes"	2
"82"	"VHL"	"1"	"SMARCA4"	"1"	"endometrial_carcinoma_(uterine), lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"Yes"	3
"83"	"VHL"	"1"	"SUZ12"	"1"	"endometrial_carcinoma_(uterine), lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"Yes"	3
"84"	"VHL"	"1"	"TRIM24"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"Yes"	4
"85"	"VHL"	"1"	"VHL"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"Yes"	4
"86"	"AHR"	NA	"BRD3"	"1"	"head_and_neck_squamous_cell_carcinoma"	"Yes"	1
"87"	"AHR"	NA	"BRD4"	"1"	"head_and_neck_squamous_cell_carcinoma"	"Yes"	1
"88"	"AHR"	NA	"ESR1"	"1"	"glioblastoma"	"No"	1
"89"	"ASB2"	NA	"FLNA"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"90"	"BIRC2"	NA	"CASP3"	"1"	"glioblastoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"91"	"BIRC2"	NA	"RAC1"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"92"	"C10ORF90"	NA	"TP53"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"93"	"CDC20"	NA	"BUB1B"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), head_and_neck_squamous_cell_carcinoma, lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	5
"94"	"CDC20"	NA	"CDKN1A"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"95"	"CDC20"	NA	"CDKN1B"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"96"	"CDC20"	NA	"RUNX1"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	4
"97"	"CDC20"	NA	"TRRAP"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma, lung_squamous_cell_carcinoma"	"No"	3
"98"	"CDC34"	NA	"CDKN1B"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"99"	"CDCA3"	NA	"CDKN1A"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"100"	"CHFR"	NA	"SMARCA4"	"1"	"endometrial_carcinoma_(uterine)"	"No"	1
"101"	"CHFR"	NA	"SMARCD1"	"1"	"endometrial_carcinoma_(uterine)"	"No"	1
"102"	"CNOT4"	NA	"KDM5C"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"103"	"COP1"	NA	"TP53"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"104"	"DET1"	NA	"FOXO1"	"1"	"glioblastoma"	"No"	1
"105"	"DET1"	NA	"JUN"	"1"	"glioblastoma"	"No"	1
"106"	"DET1"	NA	"TP53"	"1"	"glioblastoma"	"No"	1
"107"	"DTL"	NA	"CDKN1A"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"108"	"DTL"	NA	"TP53"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), lung_adenocarcinoma, lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	5
"109"	"DYRK2"	NA	"TERT"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"110"	"F12"	NA	"HIF1A"	"1"	"endometrial_carcinoma_(uterine), lung_squamous_cell_carcinoma"	"No"	2
"111"	"FAF2"	NA	"NF1"	"1"	"head_and_neck_squamous_cell_carcinoma, lung_adenocarcinoma"	"No"	2
"112"	"FANCL"	NA	"CTNNB1"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"113"	"FANCL"	NA	"FANCD2"	"1"	"head_and_neck_squamous_cell_carcinoma, lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"114"	"FBXL19"	NA	"NKX2-1"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"115"	"FBXL19"	NA	"RAC1"	"1"	"lung_adenocarcinoma, lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"116"	"FBXL19"	NA	"RHOA"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"117"	"FBXL5"	NA	"DCTN1"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"118"	"FBXL6"	NA	"TP53"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), lung_adenocarcinoma, lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	5
"119"	"FBXO2"	NA	"SIRPA"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"120"	"FBXO22"	NA	"CDKN1A"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"121"	"FBXO32"	NA	"ATR"	"1"	"lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"No"	2
"122"	"FBXO32"	NA	"MYC"	"1"	"glioblastoma"	"No"	1
"123"	"FBXO4"	NA	"CCND1"	"1"	"glioblastoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"124"	"FBXO42"	NA	"TP53"	"1"	"glioblastoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"125"	"FBXO45"	NA	"FBXW7"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"126"	"FBXO45"	NA	"ZEB1"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"127"	"FBXO6"	NA	"TFRC"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"128"	"FBXO8"	NA	"MYC"	"1"	"glioblastoma"	"No"	1
"129"	"FBXW11"	NA	"CTNNB1"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"130"	"FBXW11"	NA	"IKBKB"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"131"	"FBXW5"	NA	"TSC2"	"1"	"endometrial_carcinoma_(uterine), lung_adenocarcinoma"	"No"	2
"132"	"FBXW8"	NA	"CCND1"	"1"	"glioblastoma"	"No"	1
"133"	"FZR1"	NA	"BUB1B"	"1"	"head_and_neck_squamous_cell_carcinoma, lung_squamous_cell_carcinoma"	"No"	2
"134"	"FZR1"	NA	"PAX3"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"135"	"FZR1"	NA	"RUNX1"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"136"	"FZR1"	NA	"SOX2"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"137"	"FZR1"	NA	"STIL"	"1"	"head_and_neck_squamous_cell_carcinoma, lung_squamous_cell_carcinoma"	"No"	2
"138"	"FZR1"	NA	"TRRAP"	"1"	"head_and_neck_squamous_cell_carcinoma, lung_squamous_cell_carcinoma"	"No"	2
"139"	"HECTD3"	NA	"CASP8"	"1"	"glioblastoma"	"No"	1
"140"	"HECTD3"	NA	"MALT1"	"1"	"glioblastoma"	"No"	1
"141"	"HECTD3"	NA	"RAF1"	"1"	"glioblastoma"	"No"	1
"142"	"HUWE1"	NA	"MYCN"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"143"	"HUWE1"	NA	"SS18"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"144"	"HUWE1"	NA	"TP53"	"1"	"lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"No"	2
"145"	"ITCH"	NA	"BCL10"	"1"	"lung_adenocarcinoma"	"No"	1
"146"	"ITCH"	NA	"EGFR"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"147"	"ITCH"	NA	"ERBB3"	"1"	"lung_adenocarcinoma"	"No"	1
"148"	"ITCH"	NA	"TP63"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"149"	"KCTD13"	NA	"RHOA"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"150"	"LNX1"	NA	"SRC"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"151"	"MIB1"	NA	"BLM"	"1"	"head_and_neck_squamous_cell_carcinoma, lung_squamous_cell_carcinoma"	"No"	2
"152"	"MKRN1"	NA	"CDKN1A"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"153"	"MKRN1"	NA	"CDKN2A"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"154"	"MKRN1"	NA	"POLG"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"155"	"MKRN1"	NA	"TP53"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"156"	"MUL1"	NA	"AKT1"	"1"	"glioblastoma"	"No"	1
"157"	"MUL1"	NA	"TP53"	"1"	"glioblastoma"	"No"	1
"158"	"NAT10"	NA	"MDM2"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"159"	"NEDD4"	NA	"AR"	"1"	"glioblastoma"	"No"	1
"160"	"NEDD4"	NA	"BCL10"	"1"	"glioblastoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"161"	"NEDD4"	NA	"CDKN1A"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"162"	"NEDD4"	NA	"EPS15"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"163"	"NEDD4"	NA	"FGFR1"	"1"	"glioblastoma"	"No"	1
"164"	"NEDD4"	NA	"HRAS"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"165"	"NEDD4"	NA	"KDR"	"1"	"glioblastoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"166"	"NEDD4"	NA	"LATS1"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"167"	"NEDD4"	NA	"LYN"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"168"	"NEDD4"	NA	"MAF"	"1"	"glioblastoma"	"No"	1
"169"	"NEDD4"	NA	"MYC"	"1"	"glioblastoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"170"	"NEDD4"	NA	"NOTCH1"	"1"	"glioblastoma"	"No"	1
"171"	"NEDD4"	NA	"NRAS"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"172"	"NEDD4"	NA	"NTRK1"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma"	"No"	2
"173"	"NEDD4"	NA	"POLR2A"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"174"	"NEDD4"	NA	"SRC"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"175"	"NEDD4"	NA	"SYK"	"1"	"glioblastoma"	"No"	1
"176"	"NEDD4"	NA	"TFG"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma"	"No"	2
"177"	"NEDD4"	NA	"XPO1"	"1"	"head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"178"	"NEDD4L"	NA	"AKT1"	"1"	"endometrial_carcinoma_(uterine)"	"No"	1
"179"	"NEDD4L"	NA	"NF2"	"1"	"endometrial_carcinoma_(uterine)"	"No"	1
"180"	"NEDD4L"	NA	"TP53"	"1"	"endometrial_carcinoma_(uterine)"	"No"	1
"181"	"NEURL2"	NA	"CTNNB1"	"1"	"glioblastoma, lung_adenocarcinoma"	"No"	2
"182"	"PELI1"	NA	"BCL6"	"1"	"glioblastoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"183"	"PJA1"	NA	"EZH2"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"184"	"PJA1"	NA	"SUZ12"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"185"	"RACK1"	NA	"HIF1A"	"1"	"lung_adenocarcinoma"	"No"	1
"186"	"RAD18"	NA	"FANCD2"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), head_and_neck_squamous_cell_carcinoma, lung_adenocarcinoma, lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	6
"187"	"RAD18"	NA	"TP53"	"1"	"glioblastoma, endometrial_carcinoma_(uterine), lung_adenocarcinoma, lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	5
"188"	"RBX1"	NA	"NFE2L2"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"189"	"RBX1"	NA	"POLR2A"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"190"	"RFFL"	NA	"CASP8"	"1"	"glioblastoma, endometrial_carcinoma_(uterine)"	"No"	2
"191"	"RFFL"	NA	"TP53"	"1"	"glioblastoma, endometrial_carcinoma_(uterine)"	"No"	2
"192"	"RNF114"	NA	"BRD4"	"1"	"head_and_neck_squamous_cell_carcinoma"	"Yes"	1
"193"	"RNF115"	NA	"CXCR4"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"194"	"RNF115"	NA	"EGFR"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"195"	"RNF115"	NA	"MET"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"196"	"RNF125"	NA	"TP53"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"197"	"RNF126"	NA	"CDKN1A"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"198"	"RNF126"	NA	"CXCR4"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"199"	"RNF126"	NA	"EGFR"	"1"	"lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"200"	"RNF126"	NA	"TP53"	"1"	"lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"201"	"RNF144A"	NA	"EGFR"	"1"	"head_and_neck_squamous_cell_carcinoma"	"No"	1
"202"	"RNF144B"	NA	"BAX"	"1"	"endometrial_carcinoma_(uterine), clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"203"	"RNF144B"	NA	"CDKN1A"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"204"	"RNF144B"	NA	"NPM1"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"205"	"RNF181"	NA	"ESR1"	"1"	"glioblastoma"	"No"	1
"206"	"RNF19A"	NA	"TP53"	"1"	"glioblastoma"	"No"	1
"207"	"RNF34"	NA	"CASP8"	"1"	"endometrial_carcinoma_(uterine), head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"208"	"RNF34"	NA	"TP53"	"1"	"endometrial_carcinoma_(uterine), lung_adenocarcinoma, lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	4
"209"	"RNF4"	NA	"BRD4"	"1"	"head_and_neck_squamous_cell_carcinoma"	"Yes"	1
"210"	"RNF4"	NA	"EPAS1"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"211"	"RNF4"	NA	"ETV4"	"1"	"glioblastoma, head_and_neck_squamous_cell_carcinoma, lung_squamous_cell_carcinoma"	"No"	3
"212"	"RNF4"	NA	"PML"	"1"	"head_and_neck_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"213"	"RNF8"	NA	"BLM"	"1"	"endometrial_carcinoma_(uterine), lung_squamous_cell_carcinoma"	"No"	2
"214"	"RNF8"	NA	"CHEK2"	"1"	"endometrial_carcinoma_(uterine), lung_squamous_cell_carcinoma"	"No"	2
"215"	"RNF8"	NA	"NONO"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
"216"	"SIAH1"	NA	"CTNNB1"	"1"	"glioblastoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	2
"217"	"SIAH1"	NA	"HIF1A"	"1"	"glioblastoma"	"No"	1
"218"	"SIAH1"	NA	"MYB"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"219"	"SIAH1"	NA	"PML"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"220"	"SIAH2"	NA	"CDKN1B"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"221"	"SIAH2"	NA	"CHEK2"	"1"	"lung_adenocarcinoma, lung_squamous_cell_carcinoma, clear_cell_renal_cell_carcinoma_(kidney)"	"No"	3
"222"	"SIAH2"	NA	"HIF1A"	"1"	"lung_adenocarcinoma, lung_squamous_cell_carcinoma"	"No"	2
"223"	"SIAH2"	NA	"PML"	"1"	"clear_cell_renal_cell_carcinoma_(kidney)"	"No"	1
"224"	"SIAH2"	NA	"POU2AF1"	"1"	"lung_squamous_cell_carcinoma"	"No"	1
