Patient_ID	01CO001	01CO005	01CO006	01CO008	01CO013	01CO014	01CO015	01CO019	01CO022	05CO002	05CO003	05CO004	05CO005	05CO006	05CO007	05CO011	05CO014	05CO015	05CO020	05CO026	05CO028	05CO029	05CO032	05CO033	05CO034	05CO035	05CO037	05CO039	05CO041	05CO044	05CO045	05CO047	05CO048	05CO049	05CO050	05CO053	05CO054	05CO055	06CO001	06CO002	09CO005	09CO006	09CO008	09CO011	09CO013	09CO014	09CO015	09CO018	09CO019	09CO022	11CO005	11CO007	11CO008	11CO010	11CO018	11CO019	11CO020	11CO021	11CO022	11CO027	11CO030	11CO031	11CO032	11CO033	11CO036	11CO037	11CO039	11CO042	11CO043	11CO044	11CO045	11CO047	11CO048	11CO051	11CO052	11CO053	11CO054	11CO057	11CO058	11CO059	11CO060	11CO061	11CO062	11CO070	11CO072	11CO077	11CO079	13CO001	14CO001	14CO002	14CO003	14CO005	15CO001	15CO002	16CO002	16CO003	16CO006	16CO011	16CO012	20CO001	20CO003	20CO004	20CO006	20CO007	21CO006	21CO007	22CO004	22CO006	24CO005	27CO004	01CO001.N	01CO005.N	01CO006.N	01CO008.N	01CO013.N	01CO014.N	01CO015.N	01CO019.N	01CO022.N	05CO002.N	05CO003.N	05CO006.N	05CO007.N	05CO011.N	05CO015.N	05CO020.N	05CO026.N	05CO028.N	05CO029.N	05CO032.N	05CO033.N	05CO034.N	05CO035.N	05CO037.N	05CO039.N	05CO041.N	05CO044.N	05CO045.N	05CO047.N	05CO048.N	05CO049.N	05CO050.N	05CO053.N	05CO054.N	06CO001.N	06CO002.N	09CO005.N	09CO006.N	09CO008.N	09CO011.N	09CO013.N	09CO014.N	09CO015.N	09CO018.N	09CO019.N	09CO022.N	11CO005.N	11CO007.N	11CO008.N	11CO010.N	11CO018.N	11CO019.N	11CO020.N	11CO021.N	11CO022.N	11CO027.N	11CO030.N	11CO031.N	11CO032.N	11CO033.N	11CO036.N	11CO037.N	11CO039.N	11CO042.N	11CO043.N	11CO044.N	11CO045.N	11CO047.N	11CO048.N	11CO051.N	11CO052.N	11CO053.N	11CO054.N	11CO057.N	11CO058.N	11CO060.N	11CO061.N	11CO062.N	11CO070.N	11CO072.N	11CO077.N	11CO079.N	14CO002.N	14CO005.N	15CO001.N	15CO002.N	16CO002.N	16CO003.N	16CO006.N	16CO011.N	20CO001.N	20CO003.N	20CO004.N	20CO006.N	20CO007.N	21CO006.N	21CO007.N	22CO004.N	22CO006.N	27CO004.N
DCAF16	9.1215	9.543	10.1662	10.7574	10.196	9.4553	10.0084	9.8734	9.9322	10.3038	10.4491		9.796	10.5859	9.7895	9.9816	10.9091	9.8826	10.332	9.7731	9.8471	9.817	9.1774	9.2216	9.7532	10.3587	10.2715	9.5275	10.0196	10.3783	9.2432	9.9929	9.4512	9.9687	9.9396	9.568	9.9586	9.783	10.3955	10.1699	10.4778	10.128	11.0258	10.2348	10.1485	10.5343	10.3815	9.29	10.5507	10.3955	9.716000000000001	10.0042	8.9744	10.3674	10.2348	10.314	9.6366	10.043	10.1662	9.7748	10.2691	8.8704	9.5661	9.5038	10.3026	10.0154	10.5699	10.2119	9.8564	10.1202	10.3038	10.3848	9.7549	9.8704	9.7993	10.4471	9.7928	10.5718	9.6129	10.3608	10.4512	9.2021	9.0875	10.2131	10.7108	10.0238	10.151			9.9498	10.2372	9.6257	9.7665	9.4858	9.9571	10.0768	10.2021	9.982999999999999	9.4696	9.7347	9.7245	10.610999999999999		10.0888	9.6457	9.7549	10.0362	9.4094	8.8009	10.207																																																																																																				
DCAF4	8.9069	8.7279	8.543	8.0715	8.6546	8.2288	8.5038	8.6294	8.1344	8.2095	7.6935		8.375	8.6935	7.9658	8.4471	8.7482	8.097999999999999	7.9773	8.3576	9.1699	7.7748	8.6221	7.9366	8.0498	8.0444	7.7748	7.1898	8.1137	8.5469	8.2946	8.7616	8.1849	7.96	7.7814	8.3399	8.7142	8.3219	8.0112	8.3038	8.4959	8.3174	8.4094	8.1085	8.6221	8.3219	8.9009	8.9009	8.1137	7.585	8.2288	7.8887	8.0715	8.4221	8.2854	8.7715	8.7347	7.9484	8.9915	7.8517	8.633	7.6724	8.1447	8.7074	7.8455	8.3966	8.5962	8.7347	9.2784	8.9069	8.1799	8.6221	8.5157	8.2992	8.0821	8.7004	8.4305	8.9887	8.5736	7.098	9.4998	7.5469	7.9887	8.4346	7.858	7.8009	8.2761			8.9099	7.9715	8.5962	8.2854	8.4676	8.7846	7.9542	8.9069	7.8765	8.0498	8.7582	8.5353	9.0875		7.8265	8.0279	8.2574	7.7814	8.0715	7.6439	8.7879																																																																																																				
DCAF8	11.4351	10.5216	11.1144	10.96	11.0161	11.4873	10.865	10.6266	10.6812	11.2174	10.7305		10.8688	11.0512	10.5555	11.7432	10.8517	10.7507	10.8819	10.9322	10.7814	10.623	10.8611	10.8242	11.3415	11.1066	10.8138	11.445	10.6101	10.242	11.0802	11.0855	11.224	10.7398	10.6777	10.9447	10.8963	11.380999999999998	10.9936	11.1787	11.1402	10.7177	10.7013	11.0286	10.5285	11.6106	10.6564	10.5708	10.9425	10.7912	10.9432	11.056	11.0573	10.9121	10.6275	11.1241	11.0694	11.4833	10.783	11.1163	11.0888	11.5162	11.0471	10.7797	10.8781	11.0355	11.4362	11.0007	11.0519	10.9751	10.9204	11.1053	10.8796	10.9476	10.6493	11.1523	10.875	10.8796	10.7846	10.792	11.0855	11.1338	10.5897	10.7474	11.0382	11.0147	10.9076			10.7903	11.3848	10.8009	11.0175	10.5127	11.8603	11.0105	10.5058	11.1183	10.5488	11.2935	11.327	11.0423		11.1131	10.7814	11.1189	10.5411	10.9432	10.9607	10.9944																																																																																																				
DCPS	8.0821	8.8948	8.3174	8.3309	8.6294	9.5641	8.3794	8.0928	9.5216	8.2095	9.1749		7.8826	9.5372	9.0279	8.1344	8.2668	7.983	8.2992	8.5236	8.4009	8.4838	8.8234	8.2992	8.0715	8.1799	9.0928	9.2119	8.8424	8.9425	8.3531	8.0768	8.8486	8.5157	8.9307	8.7912	8.7682	8.5507	8.1033	8.4998	8.4051	8.4717	7.8329	8.9454	7.8887	8.1137	8.2946	8.9009	8.2384	8.0821	8.1033	9.4838	8.3174	9.1548	8.1396	8.3083	8.4878	8.6724	8.1497	8.6402	8.4429	8.6511	8.2992	7.7748	9.0498	8.7912	7.9189	8.6724	8.7582	8.6221	8.1447	8.0875	8.3129	8.4676	8.3966	7.9248	8.1033	7.8074	7.7879	8.7515	8.4798	8.2946	9.1849	8.5236	8.1997	7.6795	8.5469			8.4429	8.3129	8.3264	8.5314	8.0553	7.8202	8.4179	8.1085	7.9129	8.2854	8.6865	8.7245	8.7142		8.8329	7.3923	9.1523	8.6935	8.0498	8.224	8.4553																																																																																																				
DCTN1	11.4988	11.819	10.9844	10.7887	11.2252	10.0715	10.402999999999999	10.4252	10.5255	11.5338	11.4142		9.8439	10.9069	11.0627	11.4179	10.9564	10.6751	11.5333	11.1849	9.8009	9.941	8.9773	10.388	11.0161	11.4671	11.1561	10.7723	10.6202	11.9758	10.1687	10.7465	10.4584	10.9915	10.2715	10.1948	10.6733	9.9114	11.0189	11.0566	11.204	9.7245	10.6952	10.9571	11.187999999999999	11.1605	10.5784	9.4919	9.9352	10.6812	11.0327	9.9614	10.3498	11.6502	11.3912	11.3929	10.9009	11.2929	10.6821	10.3987	10.5925	9.5546	10.4481	10.8258	10.4502	10.5821	10.3365	11.1755	11.1997	11.2426	11.4661	11.0888	11.2324	11.0795	10.3912	10.6083	11.1105	11.3761	10.8657	10.0042	10.0914	9.8963	11.1079	10.3945	11.0661	10.7657	11.3214			10.3805	11.3315	10.3332	12.0018	11.1163	11.0788	10.5632	10.6294	11.2842	9.7731	11.0133	10.7339	10.8872		10.0539	10.2348	10.2691	10.4336	10.5971	9.9009	10.6609																																																																																																				
DCTN6	9.809	9.1774	9.4284	10.3365	8.8765	10.2384	10.1485	9.6935	10.0112	9.8186	9.5372		10.5868	10.2288	10.2808	8.2479	9.6421	9.6165	9.5565	9.3129	10.7969	10.6411	11.0444	9.8549	9.2408	9.9009	9.5943	9.7814	10.0566	8.9944	9.9352	8.5038	10.5392	9.7245	10.1836	10.675999999999998	9.7846	9.5906	8.7415	9.8041	9.6636	10.5048	9.0661	9.4491	9.4798	9.5488	9.1007	10.0647	10.255	10.2969	9.683	10.2808	9.9039	9.7142	9.1898	9.1749	8.5622	8.7313	9.7912	10.6339	9.0848	10.4878	9.3859	9.6564	9.7177	8.8887	9.9009	9.097999999999999	7.7682	8.4798	8.9278	9.5718	8.8361	9.3219	9.7091	8.7039	9.6348	9.2192	9.9322	10.1046	8.9629	10.9189	9.2691	9.6883	9.5641	9.8376	8.4919			10.7482	9.1421	9.6777	9.255	9.0196	9.6475	9.3663	9.6294	9.3945	10.7599	9.4388	10.2981	8.7279		9.7912	9.3815	8.6073	9.4471	9.8963	10.6502	9.3443																																																																																																				
DCUN1D1	10.6266	10.2923	10.6804	11.1755	9.8502	10.6555	10.6546	10.6698	11.0369	10.3004	10.4094		10.8186	10.7599	9.9189	9.2808	10.7448	10.6636	10.6653	10.1396	11.5589	11.5736	11.9133	11.0348	10.4115	9.8994	10.4336	10.5167	10.446	9.8218	10.1396	10.2095	10.5831	10.2527	10.2992	10.7541	9.9972	10.3685	10.1972	10.5622	10.5038	11.4737	10.4378	10.0861	9.943999999999999	10.1674	10.0634	11.544	10.7211	10.3608	9.8041	11.1402	10.8361	9.9484	9.9352	9.9248	10.6609	10.115	10.0224	11.0244	10.2796	11.2814	10.3608	10.5285	10.7134	10.3531	11.0375	9.4635	9.6384	10.218	9.7211	9.5118	9.4717	10.3354	10.5127	10.4988	10.0539	9.9322	10.6528	10.9388	10.3421	11.8734	10.3542	11.0721	10.2586	10.4179	10.6671			10.9256	9.8361	10.2831	10.2479	10.1724	10.1176	10.4294	10.3309	10.0728	11.03	10.9174	11.177999999999999	10.5507		10.7271	10.6027	10.5028	10.7944	10.7674	10.9535	10.6944																																																																																																				
DDB1	12.5277	12.4896	12.2955	11.8952	12.8988	11.7385	11.8861	12.0447	12.1749	12.1196	12.4876		12.1176	11.3281	12.292	11.937000000000001	12.6571	12.1981	12.6799	12.3197	12.0338	11.6115	11.6443	11.6582	11.9567	12.5307	12.4815	12.0351	11.9337	12.561	12.0641	12.0851	12.1752	12.4959	11.2597	11.7495	12.1787	11.5348	11.9812	11.9705	12.0355	11.4497	12.2524	12.7061	12.3058	12.3902	12.030999999999999	11.5358	11.617	12.4265	11.9883	11.8754	11.7108	12.1545	12.2061	12.4625	12.2589	12.2871	12.0123	12.1163	11.917	11.5236	11.6515	12.2342	12.2453	12.0984	11.7649	12.1364	12.4815	12.4463	12.292	12.5425	12.0549	12.2863	12.1699	12.3977	12.2186	12.265	11.9715	11.2497	12.1746	11.8922	12.2342	11.9267	12.3401	11.7065	12.2854			12.2372	12.0063	11.6461	11.9278	12.2992	11.890999999999998	11.9114	11.9633	12.1724	11.3548	11.7698	11.7969	12.1023		12.0918	11.5454	12.1665	11.757	11.6161	12.0382	11.7748																																																																																																				
DDB2	8.6294	7.2479	9.6546	8.9307	8.982999999999999	9.0196	8.8329	8.0444	9.5196	8.5507	10.0444		9.4778	9.8549	9.137	8.1447	7.7074	9.5584	8.2336	9.1972	9.8918	8.9218	9.6129	9.5962	8.1749	8.5196	9.3354	9.7993	10.1935	8.3399	8.9337	8.5314	9.8903	8.7381	10.1836	10.4543	9.5177	8.6184	8.1033	8.2715	9.5196	9.0417	8.4388	8.097999999999999	9.0056	8.2479	8.5196	8.9189	8.3309	8.1749	9.236	9.9144	8.8826	8.9189	8.8765	8.4051	9.4919	8.5962	8.4919	8.8265	8.2046	9.7415	8.7944	9.1624	9.3219	8.3443	9.2119	8.697000000000001	8.7039	8.6294	8.4263	8.3399	8.2574	9.0848	9.2479	8.6475	7.8948	7.7616	9.4179	9.2336	8.6546	10.5285	9.5177	8.8202	8.3663	8.5699	8.5546			8.7004	9.1497	9.3487	8.6221	8.9513	9.0389	8.7245	9.1472	8.3443	9.2479	8.5038	9.2644	8.0768		8.5314	8.4305	8.5038	8.2095	9.6366	9.0168	9.1215																																																																																																				
DDIT4	10.6944	10.3498	9.9024	10.5038	10.9751	11.5603	9.732999999999999	12.0338	10.5479	11.2021	11.7752		10.6384	11.1818	12.6753	10.5167	12.0451	12.5137	11.7964	11.8849	10.5859	11.2143	11.1599	11.4341	11.2432	12.0895	10.9106	11.4959	11.6773	11.675999999999998	11.0855	12.0891	12.0042	10.774000000000001	10.7879	13.1935	11.3208	12.2952	10.8595	10.5897	11.8711	10.7591	10.2981	9.9715	11.6216	9.9787	11.2929	11.2276	11.265	12.7127	10.4919	11.3208	11.0788	9.9816	12.446	11.3498	9.6865	11.3971	11.8094	11.0881	11.2963	10.9491	10.1137	11.255	10.7406	10.3859	10.7406	11.0105	10.8665	10.9614	11.8102	12.4139	10.7731	11.8238	12.0417	10.8842	11.1824	10.9801	10.8392	12.3639	10.0835	11.4486	12.0437	9.9915	9.9672	11.2521	10.097999999999999			11.7936	10.8001	13.0723	10.5498	10.8994	10.0861	10.5411	12.1874	9.7863	11.5661	10.4367	9.5962	10.8082		9.9233	10.9001	10.5038	11.1267	11.5147	11.4605	11.03																																																																																																				
DDX24	11.5527	10.6448	11.9031	11.7773	11.7052	11.8498	11.5392	11.4579	11.0553	11.5784	11.6004		10.6248	11.6878	11.2408	11.1131	11.0921	12.1137	10.8321	11.5304	12.2288	11.3089	10.9866	11.8757	11.7022	10.9737	11.6595	11.744000000000002	12.2639	11.9604	12.040999999999999	11.5887	12.0042	11.3309	12.2309	11.9166	11.4625	11.2246	10.8337	11.3745	11.8408	11.5736	11.8665	11.0279	11.6555	11.2216	11.6777	10.9046	10.5147	11.2444	11.0091	11.3146	11.4783	11.1105	11.4656	11.6398	12.1614	11.220999999999998	11.8963	10.6312	11.5241	11.9241	11.0478	11.6421	11.7381	11.4564	10.8033	11.4594	11.4414	11.5058	11.5231	11.4173	11.5132	11.8094	12.2128	12.0901	11.239	11.9177	11.9996	10.9901	11.6402	12.0901	11.0042	11.6746	11.1144	11.4727	10.8041			11.4362	11.5546	11.3304	11.5177	11.5522	12.3387	11.4221	12.0413	11.1357	11.7254	11.8384	11.2216	11.5304		11.2662	11.2592	11.5727	11.3432	12.1105	11.1755	11.7891																																																																																																				
DDX3X	13.1917	13.081	13.7391	13.9281	13.1864	13.4987	13.5792	13.1846	13.2897	13.3624	12.9121		10.2877	13.4862	13.3593	13.149000000000001	13.4484	13.2802	13.4873	13.5805	13.6469	13.3934	12.8362	13.3411	13.5913	13.3904	12.4881	12.9672	13.5818	12.5906	13.7109	12.5553	13.3222	12.8482	13.2359	12.9009	12.7509	13.2293	12.8082	14.1833	13.4396	13.3397	12.9871	13.6306	13.1596	13.25	13.2971	13.5908	12.9157	13.1442	13.2913	14.1307	13.5405	12.9016	12.6202	13.347999999999999	13.4361	13.4206	13.5608	13.4799	13.2512	13.9215	12.7812	13.1941	12.9697	13.292	13.1713	13.1136	13.4964	13.3081	13.2971	13.1136	12.9044	13.802	13.7633	13.5407	13.5535	13.4401	13.4803	13.5757	13.4757	13.9257	12.6841	12.9283	13.1754	13.1105	13.4005			13.6986	13.6407	13.2009	13.4307	13.3095	12.8325	13.495999999999999	13.0741	12.7495	13.2643	13.4557	12.9629	12.808		13.1531	13.6349	13.0888	13.4677	13.7151	13.0933	13.4126																																																																																																				
DDX5	14.2715	13.8079	14.1715	13.6804	13.6393	13.7514	13.9899	13.6114	13.713	14.0835	13.8133		14.3545	14.3161	13.9102	13.857999999999999	14.0444	13.9271	13.8247	14.0456	14.0883	14.2936	14.1684	14.2925	13.9534	13.4517	13.6924	13.489	13.6733	13.792	13.991	13.6936	13.8459	13.5944	14.0076	14.0491	13.6439	13.7068	13.8661	14.5734	14.0711	13.9654	14.0504	13.62	13.4416	13.9996	13.9858	13.8876	13.9121	14.0836	13.4931	14.0193	13.9088	13.347999999999999	13.5379	13.9087	13.9998	13.5017	13.755999999999998	13.6202	13.6767	14.4131	13.4061	14.0598	13.8941	13.662	13.5897	13.4944	13.5113	14.0071	13.8982	13.8684	13.8982	14.1333	14.1623	13.8267	13.8411	13.9578	13.7081	13.9293	13.4836	14.3884	13.5964	13.9556	13.5307	13.9752	13.1434			14.3422	13.7762	13.8779	13.8142	13.6704	13.679	13.5975	14.0119	13.3798	13.6919	14.1494	13.9609	14.1297		14.0963	14.2661	13.4719	13.7399	14.238	13.9632	14.3098																																																																																																				
DDX58	10.3253	9.1497	10.062000000000001	9.6475	8.7381	10.3576	10.0674	8.8455	9.7448	10.2479	9.7731		8.3399	9.4553	9.5488	10.6294	9.7432	11.0519	8.4263	8.2288	10.5831	10.6582	11.7017	10.8956	9.2503	9.3815	9.2644	10.7591	10.4898	9.2456	10.7022	9.7482	10.6987	10.3707	9.3619	9.1948	9.7682	10.6046	9.1548	9.5812	9.3685	9.8781	10.0112	9.8857	9.5565	10.5098	9.7381	10.2668	9.1085	9.9159	9.4512	10.23	9.875	9.2621	9.4635	9.972999999999999	9.633	9.6457	8.7142	10.0362	10.0674	12.2012	10.2444	9.8486	10.3729	10.2046	9.5962	8.8138	9.6618	9.7108	9.7398	9.0168	9.5353	10.2082	10.1787	9.9672	9.6883	9.2143	9.1319	9.7108	10.1163	10.5981	8.7549	9.1215	10.1523	10.1972	9.3376			9.4798	10.2562	9.2644	7.9307	9.3663	9.3151	10.352	9.6636	9.8313	10.0098	10.6715	11.3387	7.6653		10.0728	10.032	9.5999	10.3185	11.4543	10.7305	9.9527																																																																																																				
DEK	13.1914	12.8118	12.4226	13.1124	12.3907	12.8884	13.3161	12.4661	13.0826	12.366	12.5476		12.9908	12.5713	12.2995	12.535	12.6784	12.856	12.4775	12.481	13.7134	13.3519	14.0792	13.0345	12.6821	11.9285	12.5066	12.7667	12.8535	12.6524	12.6259	12.5075	12.5105	12.062000000000001	12.9148	13.3487	12.3742	12.8011	12.1849	13.759	12.5132	13.4967	12.4722	12.1577	12.6334	12.4197	12.5843	14.4063	13.2167	12.9901	11.8329	14.1461	12.9026	12.7309	12.2426	12.4252	12.7147	12.5689	12.4561	13.5687	12.2741	13.5288	12.3682	12.4843	12.7572	12.1892	13.5322	12.1821	12.6867	12.6669	12.2225	12.4163	11.4676	12.332	12.8074	12.9792	12.7353	12.2868	12.3545	12.4926	12.7995	13.5125	11.7797	12.9082	12.5425	12.3202	12.7326			13.3894	12.3756	13.0147	12.6126	12.6048	11.5058	12.8063	12.4808	12.4054	13.1296	12.3315	13.4621	12.5174		12.5469	12.7534	12.6454	13.0072	12.5285	12.6382	12.6817																																																																																																				
DEPDC5	8.9129	8.5196	8.5196	8.0112	8.9484	8.633	8.0389	8.4346	8.1033	8.3399	8.9658		8.1293	8.1799	7.9129	8.6795	9.2761	7.8392	8.8455	8.3837	7.4429	7.7549	7.4757	7.8948	7.6935	8.5584	8.4676	8.5699	8.5469	8.4179	7.6795	9.4778	8.224	8.7245	8.3837	8.3174	8.5774	7.9484	8.3531	8.1396	8.2621	8.097999999999999	8.2854	8.1344	8.4798	8.5999	8.5584	7.9189	8.2715	8.9307	8.5584	8.3264	7.8265	8.5999	8.8486	8.5999	8.3576	8.3443	8.4553	8.5275	8.3264	8.1293	8.0553	8.7814	8.6618	8.0112	8.5812	8.6036	7.9248	8.2046	8.5812	9.1674	8.4635	8.8765	8.1344	7.6582	8.3531	8.3129	8.0056	8.1898	8.543	8.1189	8.5962	8.6795	8.0553	8.0875	8.2384			8.4429	9.3685	8.0553	8.6618	8.5236	8.3354	8.3399	8.1189	7.9366	7.8948	7.7879	8.611	8.2761		8.3837	8.1396	8.1699	8.3354	8.0112	7.6935	7.9484																																																																																																				
DEPTOR	8.5507	9.4553	9.4798	8.8734	10.9447	8.1699	9.1007	10.2597	8.0553	9.1824	9.375		10.2738	8.3663	7.8329	9.7863	8.5812	7.8455	8.7347	7.5774	10.7814	9.3106	9.236	8.7616	9.3083	9.1874	9.7381	9.4242	7.9009	6.4757	9.5603	7.9366	8.9687	8.6689	9.4305	9.1189	8.8392	9.4737	9.5275	8.9337	8.1699	8.817	9.5098	8.9915	9.7764	8.7616	9.5078	9.0362	8.7313	9.224	9.4919	8.4757	9.8329	9.0715	8.9513	9.5488	9.3038	8.6935	10.5048	9.7091	10.1072	9.0056	9.2216	9.8186	9.5078	10.1536	10.9031	10.1124	8.6294	8.6439	8.9744	9.1497	9.1267	8.7748	9.207	9.9629	9.1421	8.8329	8.7814	8.4305	10.7515	9.6689	8.9571	9.2854	9.5546	9.2432	8.7814			8.9484	9.4878	9.5177	8.5038	9.7665	9.5177	9.1447	8.7211	8.0056	10.0941	8.9629	10.236	9.8595		9.5098	9.236	10.4305	9.2408	7.9542	9.0168	9.3531																																																																																																				
DES	8.9218	8.2046	11.9348	9.9129	7.2854	8.8138	7.6221	12.9968	7.6511	16.378	4.6439		9.2784	9.9701	8.3619	8.9278	7.7879	12.36	10.623	10.363	8.9542	8.3619	9.1699	13.0189	13.7682	13.7093	8.2761	5.1699	6.4757	9.0112	12.7966	6.3576	13.8937	9.8392	8.5469	7.1497	7.7347	12.3567	10.5372	13.3981	11.5172	10.1536	7.585	8.6294	9.4878	13.3056	8.4998	6.7004	10.2656	7.5157	14.6785	12.5687	14.2104	13.6518	9.6073	5.4919	13.0065	7.2288	12.0417	13.6723	12.2547	12.9892	14.1997	12.0748	7.8765	15.2225	14.0511	13.9989	10.3095	10.1189	13.2832	9.3129	13.9086	11.2143	11.0485	13.312000000000001	8.0279	7.9366	13.9033	9.1523	8.5469	13.4006	11.4564	6.6582	7.1293	11.5594	12.8555			9.3772	4.7549	14.735	13.1376	12.605	14.7395	15.1056	11.7052	13.9408	8.0224	13.4819	15.8557	6.9425		7.8329	13.7224	9.7364	9.4696	12.9889	13.769	11.9894																																																																																																				
DET1	7.1189	6.9189	7.6073	7.5999	6.7682	7.6511	7.7682	8.1033	7.4263	7.8265	7.0		6.6147	6.8202	6.0661	7.0112	7.6439	6.8202	7.1189	7.1497	7.9366	7.6221	7.7549	7.4757	7.6653	7.2192	7.3399	7.0334	6.2854	6.0444	7.4676	7.1497	7.1293	7.6724	7.0	6.6439	7.3923	7.6147	7.6511	7.4094	7.96	7.3309	7.0224	7.2192	7.3663	7.5157	7.6221	7.2854	7.3923	7.6294	7.2479	6.9069	7.858	6.9425	7.1599	7.8642	7.4919	7.9542	7.1189	7.9069	7.2288	7.2384	6.4757	7.0553	6.4263	7.6865	6.9307	7.1085	7.7279	6.7549	7.1599	7.8392	7.0875	7.0553	6.7415	7.6294	7.7682	7.4998	6.9658	6.8329	7.2946	6.9307	6.7279	7.0553	7.2854	7.375	7.1997			7.5699	7.5699	7.2095	7.7879	7.5157	7.5236	7.3309	7.5699	7.2288	7.9069	7.6511	7.5999	6.6582		7.4094	6.6865	7.3837	7.7415	6.9773	7.9366	7.4676																																																																																																				
DHFR	11.6546	10.0875	10.888	10.9106	10.5245	11.9926	11.5416	11.5897	12.7317	10.2288	11.0841		11.4284	10.7482	10.7682	11.1892	11.0782	11.1586	10.9174	11.1466	11.8861	11.8061	12.7551	11.2509	10.4398	10.8162	11.0119	11.9144	11.0175	10.7582	11.6193	11.7364	11.2396	10.9307	12.2306	11.7908	10.9744	11.1737	10.6266	9.9658	10.7928	11.3723	11.4163	11.0875	11.151	10.4242	11.4984	11.3337	11.7004	10.5962	10.7665	12.4535	11.5967	10.5565	10.9744	9.9218	10.0056	10.8114	10.0028	11.4993	11.0217	13.0331	12.2363	11.8262	11.9285	10.9908	11.5063	11.2814	9.9887	10.5421	10.6064	11.4486	10.3376	11.4247	11.4553	10.5641	10.9851	9.4325	11.0708	11.7104	10.9166	11.703	11.6152	12.0947	10.9344	10.8265	11.9447			12.5253	11.8372	10.4179	10.7903	10.5098	10.2432	11.2306	10.3197	10.3049	12.2509	10.0967	11.3587	11.3961		11.8929	11.0861	11.1364	11.2773	11.1376	10.8289	11.1799																																																																																																				
DHX33	9.4491	10.0993	9.2808	9.5333	10.5594	9.4757	8.7347	8.8704	9.0498	9.1573	9.7448		8.6865	9.2312	9.3707	9.5962	9.3354	9.1898	9.4429	10.2131	8.2808	8.3837	8.7616	9.0389	8.8948	8.7781	9.4818	9.3174	9.9484	9.9189	8.4051	8.857999999999999	9.2336	8.9248	9.5622	8.9858	9.3376	8.2479	8.9454	9.1472	9.611	8.9658	9.1624	9.3264	9.0471	9.0715	9.3264	8.8138	8.3487	8.6184	8.7515	9.7108	8.4553	9.1649	9.1898	9.8218	9.42	8.8611	9.3966	8.5118	8.8424	9.0112	8.5275	9.1923	9.1674	9.0821	8.7279	8.9248	9.1189	9.8994	9.3151	9.8025	9.2527	9.8186	9.1749	9.4939	9.3332	9.9513	9.0553	9.2264	9.7928	9.6312	9.4838	9.8265	9.0901	8.8265	8.9542			8.9858	9.8811	8.7582	9.7465	9.0498	9.3197	9.0795	9.0471	8.4635	8.9099	9.3576	8.8948	9.1972		8.8041	9.3038	9.1849	8.4757	8.9658	8.3531	8.6366																																																																																																				
DIABLO	10.218	9.8057	9.9672	10.2082	9.7549	10.3242	10.6073	10.007	10.5038	9.6348	9.8948		10.2656	9.9687	10.1849	9.9758	10.3597	10.3049	9.7566	10.8424	10.9527	10.6996	10.9144	10.796	10.7863	9.9084	10.0701	10.1447	10.6865	9.9614	10.5362	10.1561	10.3354	9.9366	10.7574	11.0168	10.7499	10.4543	10.0403	10.1459	10.0348	10.4263	10.2082	10.1293	10.3934	9.9144	10.5498	10.3685	10.2958	10.1737	9.8486	10.3977	11.0458	9.7125	10.4491	9.6865	10.1886	9.6671	10.2276	10.5196	10.0888	10.2738	10.6644	9.8887	10.5498	10.3026	10.4878	9.8994	9.9571	9.8502	9.8857	9.8963	9.7228	10.1824	10.744000000000002	10.2456	10.236	9.9701	10.2877	10.3061	10.2923	10.6786	10.1886	10.2058	10.2597	10.2969	10.1923			10.8895	9.7616	10.4136	9.8796	10.236	10.043	10.2969	10.812999999999999	10.128	11.245	10.1472	10.446	10.1972		10.4969	10.4788	10.66	10.421	10.0444	10.8194	10.4757																																																																																																				
DIO2	8.2143	9.0056	8.5887	6.6294	8.8673	8.6546	9.6671	8.2854	7.3399	10.3083	6.3038		8.9513	9.8978	8.2761	9.7532	9.5603	9.4635	9.0741	8.9915	8.9248	8.4512	9.1293	9.676	10.8948	10.0768	10.7936	8.4094	8.0875	8.5038	10.0403	8.8796	7.7549	8.6402	6.6294	8.6546	7.9773	11.0895	9.3531	11.0389	9.5372	10.1699	10.6653	8.4263	9.5392	9.8186	9.9701	10.6018	10.0471	8.7846	9.7228	7.8329	10.5167	9.2923	8.2336	8.9039	10.0471	9.4179	9.1599	9.4179	9.8329	9.0661	9.1497	8.4998	8.0334	10.0795	9.4388	8.1749	7.6653	8.8549	8.7879	8.5275	9.8781	8.4717	10.3332	9.7748	8.6653	9.1396	9.9366	10.1293	8.4798	9.8765	9.9009	10.1636	9.8857	9.9643	9.0196			9.4073	9.9715	9.8154	8.4878	8.697000000000001	12.0109	10.9084	8.4051	9.6582	10.5353	11.0217	10.8329	9.0526		9.3923	8.8704	10.3095	8.5661	10.6221	11.1898	10.5575																																																																																																				
